Date,Open,High,Low,Close,Adj Close,Volume
2016-12-09,6.840000,6.900000,6.640000,6.640000,6.343454,445809
2016-12-12,6.800000,6.970000,6.800000,6.890000,6.582289,21261
2016-12-13,6.980000,7.000000,6.930000,6.950000,6.639609,21232
2016-12-14,6.990000,7.020000,6.950000,6.950000,6.639609,29731
2016-12-15,6.950000,7.010000,6.920000,6.950000,6.639609,22791
2016-12-16,6.950000,7.280000,6.950000,7.270000,6.945319,13207
2016-12-19,7.260000,7.270000,7.220000,7.250000,6.926211,14052
2016-12-20,7.250000,7.450000,7.250000,7.330000,7.002639,11513
2016-12-21,7.340000,7.400000,7.280000,7.280000,6.954872,59915
2016-12-22,7.400000,7.440000,7.200000,7.200000,6.878445,18399
2016-12-23,7.200000,7.340000,7.150000,7.290000,6.964425,12085
2016-12-27,7.450000,7.450000,7.360000,7.360000,7.031299,10524
2016-12-28,7.400000,7.400000,7.250000,7.400000,7.069513,18248
2016-12-29,7.400000,7.440000,7.300000,7.380000,7.050406,14461
2016-12-30,7.400000,7.400000,7.300000,7.380000,7.050406,18152
2017-01-02,7.400000,7.400000,7.080000,7.330000,7.002639,38834
2017-01-03,7.330000,7.330000,7.130000,7.170000,6.849784,60340
2017-01-04,7.240000,7.350000,7.180000,7.250000,6.926211,18071
2017-01-05,7.250000,7.290000,7.200000,7.200000,6.878445,7150
2017-01-09,7.200000,7.300000,7.200000,7.200000,6.878445,7192
2017-01-10,7.200000,7.280000,7.190000,7.250000,6.926211,37824
2017-01-11,7.200000,7.250000,7.100000,7.140000,6.821125,25266
2017-01-12,7.100000,7.100000,7.000000,7.000000,6.687376,16344
2017-01-13,7.000000,7.050000,6.910000,6.980000,6.668270,183594
2017-01-16,7.010000,7.080000,6.980000,7.020000,6.706482,78770
2017-01-17,7.010000,7.020000,6.950000,6.980000,6.668270,11514
2017-01-18,7.010000,7.020000,6.990000,7.010000,6.696930,15638
2017-01-19,7.000000,7.040000,6.960000,7.040000,6.725589,5994
2017-01-20,7.080000,7.090000,7.000000,7.010000,6.696930,13610
2017-01-23,7.050000,7.050000,6.960000,7.040000,6.725589,61853
2017-01-24,7.080000,7.140000,7.050000,7.120000,6.802016,17221
2017-01-25,7.150000,7.160000,7.060000,7.090000,6.773357,25947
2017-01-26,7.110000,7.170000,7.090000,7.110000,6.792464,61467
2017-01-27,7.110000,7.160000,7.100000,7.110000,6.792464,104332
2017-01-30,7.140000,7.160000,7.100000,7.100000,6.782910,26332
2017-01-31,7.100000,7.160000,6.950000,6.950000,6.639609,25333
2017-02-01,6.950000,7.050000,6.950000,6.980000,6.668270,30218
2017-02-02,7.020000,7.030000,6.980000,7.000000,6.687376,11085
2017-02-03,7.100000,7.100000,6.980000,7.030000,6.716037,7052
2017-02-06,7.020000,7.020000,6.990000,7.000000,6.687376,7138
2017-02-07,7.000000,7.020000,6.980000,7.000000,6.687376,13809
2017-02-08,7.000000,7.040000,7.000000,7.040000,6.725589,13827
2017-02-09,7.100000,7.150000,7.000000,7.020000,6.706482,36544
2017-02-10,6.910000,7.150000,6.810000,6.980000,6.668270,371631
2017-02-13,7.010000,7.180000,7.010000,7.130000,6.811571,40151
2017-02-14,7.130000,7.180000,7.060000,7.180000,6.859337,12065
2017-02-15,7.200000,7.240000,7.200000,7.240000,6.916658,18660
2017-02-16,7.200000,7.240000,7.160000,7.160000,6.840231,12485
2017-02-17,7.160000,7.200000,7.000000,7.120000,6.802016,24954
2017-02-20,7.190000,7.240000,7.190000,7.210000,6.887998,13960
2017-02-21,7.240000,7.260000,7.200000,7.250000,6.926211,18386
2017-02-22,7.250000,7.260000,7.230000,7.230000,6.907105,5422
2017-02-23,7.250000,7.250000,7.200000,7.210000,6.887998,4499
2017-02-24,7.240000,7.240000,7.170000,7.190000,6.868891,7591
2017-02-27,7.190000,7.310000,7.190000,7.270000,6.945319,14662
2017-02-28,7.280000,7.490000,7.280000,7.480000,7.145939,20953
2017-03-01,7.500000,7.540000,7.450000,7.520000,7.184154,10385
2017-03-02,7.500000,7.700000,7.500000,7.700000,7.356114,26936
2017-03-03,7.700000,7.870000,7.700000,7.810000,7.461202,18102
2017-03-06,7.870000,7.870000,7.700000,7.750000,7.403881,16566
2017-03-07,7.750000,7.870000,7.750000,7.830000,7.480308,26663
2017-03-08,7.750000,7.750000,7.540000,7.580000,7.241474,22888
2017-03-09,7.580000,7.580000,7.320000,7.400000,7.069513,15903
2017-03-10,7.450000,7.580000,7.420000,7.520000,7.184154,8206
2017-03-13,7.520000,7.680000,7.420000,7.420000,7.088619,10785
2017-03-14,7.450000,7.480000,7.400000,7.400000,7.069513,7345
2017-03-15,7.400000,7.450000,7.400000,7.450000,7.117279,16504
2017-03-16,7.450000,7.450000,7.340000,7.420000,7.126884,8972
2017-03-17,7.420000,7.470000,7.400000,7.430000,7.136489,331108
2017-03-20,7.450000,7.510000,7.450000,7.500000,7.203724,5226
2017-03-21,7.470000,7.490000,7.360000,7.360000,7.069254,60277
2017-03-22,7.320000,7.320000,7.200000,7.290000,7.002019,20396
2017-03-23,7.290000,7.350000,7.250000,7.330000,7.040440,9934
2017-03-24,7.330000,7.330000,7.240000,7.250000,6.963600,12079
2017-03-27,7.250000,7.280000,7.150000,7.250000,6.963600,10029
2017-03-28,7.230000,7.270000,7.200000,7.270000,6.982810,13338
2017-03-29,7.270000,7.340000,7.270000,7.340000,7.050045,111203
2017-03-30,7.340000,7.380000,7.340000,7.350000,7.059650,25438
2017-03-31,7.350000,7.380000,7.170000,7.280000,6.992415,29801
2017-04-03,7.340000,7.350000,7.280000,7.320000,7.030835,2171
2017-04-04,7.350000,7.350000,7.280000,7.280000,6.992415,2447
2017-04-05,7.300000,7.420000,7.290000,7.400000,7.107674,12283
2017-04-06,7.410000,7.440000,7.400000,7.430000,7.136489,3534
2017-04-07,7.430000,7.430000,7.400000,7.430000,7.136489,46820
2017-04-10,7.430000,7.480000,7.400000,7.480000,7.184514,19945
2017-04-11,7.480000,7.600000,7.480000,7.550000,7.251749,7650
2017-04-12,7.580000,7.600000,7.480000,7.490000,7.194118,5480
2017-04-13,7.590000,7.620000,7.520000,7.550000,7.251749,9872
2017-04-18,7.600000,7.600000,7.500000,7.530000,7.232539,4202
2017-04-19,7.550000,7.580000,7.550000,7.550000,7.251749,6401
2017-04-20,7.570000,7.590000,7.550000,7.570000,7.270959,4256
2017-04-21,7.570000,7.600000,7.560000,7.560000,7.261353,12144
2017-04-24,7.570000,7.700000,7.400000,7.680000,7.376614,12851
2017-04-25,7.680000,7.730000,7.650000,7.700000,7.395824,10404
2017-04-26,7.710000,7.770000,7.660000,7.770000,7.463058,18277
2017-04-27,7.770000,7.820000,7.700000,7.810000,7.501478,11851
2017-04-28,8.150000,8.370000,8.000000,8.320000,7.991331,84741
2017-05-02,8.310000,8.320000,8.130000,8.240000,7.953686,11361
2017-05-03,8.210000,8.220000,8.090000,8.120000,7.837856,10408
2017-05-04,8.080000,8.180000,8.070000,8.150000,7.866813,8711
2017-05-05,8.190000,8.200000,8.170000,8.200000,7.915076,3918
2017-05-08,8.200000,8.220000,8.150000,8.170000,7.886118,4117
2017-05-09,8.180000,8.230000,8.180000,8.210000,7.924728,3416
2017-05-10,8.210000,8.250000,8.210000,8.250000,7.963339,1316
2017-05-11,8.240000,8.330000,8.210000,8.210000,7.924728,9755
2017-05-12,8.250000,8.260000,8.210000,8.250000,7.963339,3575
2017-05-15,8.250000,8.280000,8.200000,8.280000,7.992295,11240
2017-05-16,8.300000,8.300000,8.210000,8.270000,7.982644,2198
2017-05-17,8.280000,8.280000,8.130000,8.150000,7.866813,2538
2017-05-18,8.150000,8.150000,7.900000,8.020000,7.741331,10076
2017-05-19,8.170000,8.240000,8.050000,8.050000,7.770288,3699
2017-05-22,8.100000,8.270000,8.100000,8.250000,7.963339,3651
2017-05-23,8.250000,8.270000,8.150000,8.270000,7.982644,3579
2017-05-24,8.240000,8.270000,8.150000,8.270000,7.982644,31469
2017-05-26,8.270000,8.300000,8.260000,8.280000,7.992295,2068
2017-05-29,8.280000,8.290000,8.160000,8.270000,7.982644,1639
2017-05-30,8.270000,8.270000,8.100000,8.100000,7.818551,3097
2017-05-31,8.010000,8.080000,7.800000,8.020000,7.741331,494662
2017-06-01,8.010000,8.080000,8.010000,8.080000,7.799246,109370
2017-06-02,8.080000,8.220000,8.010000,8.020000,7.741331,155623
2017-06-05,8.080000,8.100000,8.030000,8.100000,7.818551,18139
2017-06-06,8.190000,8.190000,8.020000,8.050000,7.770288,4674
2017-06-07,8.140000,8.140000,8.000000,8.010000,7.731678,3744
2017-06-08,8.000000,8.200000,8.000000,8.180000,7.895772,8224
2017-06-09,8.180000,8.320000,8.160000,8.280000,7.992295,8306
2017-06-12,8.280000,8.280000,8.030000,8.130000,7.847508,18944
2017-06-13,8.180000,8.220000,8.020000,8.220000,7.934382,3706
2017-06-14,8.120000,8.370000,8.080000,8.370000,8.079169,14979
2017-06-15,8.370000,8.370000,8.110000,8.310000,8.021254,18021
2017-06-16,8.310000,8.310000,8.160000,8.250000,7.963339,5229
2017-06-19,8.150000,8.220000,8.150000,8.150000,7.866813,5035
2017-06-20,8.150000,8.220000,8.100000,8.100000,7.818551,3724
2017-06-21,8.190000,8.210000,8.030000,8.110000,7.828203,23868
2017-06-22,8.110000,8.250000,8.040000,8.130000,7.847508,2328
2017-06-26,8.200000,8.200000,7.830000,8.130000,7.847508,68724
2017-06-27,8.130000,8.200000,7.960000,8.020000,7.741331,120893
2017-06-28,8.020000,8.050000,7.880000,8.000000,7.722026,4843
2017-06-29,8.040000,8.050000,7.970000,7.970000,7.693068,36200
2017-06-30,7.970000,8.090000,7.970000,8.020000,7.741331,23430
2017-07-03,8.200000,8.200000,8.020000,8.120000,7.837856,6840
2017-07-04,8.120000,8.220000,8.110000,8.170000,7.886118,1634
2017-07-05,8.250000,8.250000,8.190000,8.190000,7.905423,9269
2017-07-06,8.190000,8.240000,8.170000,8.190000,7.905423,4609
2017-07-07,8.190000,8.190000,8.100000,8.150000,7.866813,3771
2017-07-10,8.200000,8.280000,8.200000,8.240000,7.953686,2702
2017-07-11,8.250000,8.510000,8.250000,8.490000,8.194999,10138
2017-07-12,8.490000,8.570000,8.490000,8.570000,8.272219,3136
2017-07-13,8.580000,8.850000,8.580000,8.800000,8.494228,21885
2017-07-14,9.350000,9.780000,9.350000,9.420000,9.092686,35412
2017-07-17,9.420000,9.500000,9.250000,9.250000,8.968578,57647
2017-07-18,9.280000,9.360000,9.200000,9.260000,8.978275,4485
2017-07-19,9.300000,9.310000,9.180000,9.180000,8.900709,7322
2017-07-20,9.150000,9.180000,8.900000,9.000000,8.726186,6113
2017-07-21,9.000000,9.000000,8.800000,8.900000,8.629228,8483
2017-07-24,8.890000,8.900000,8.750000,8.890000,8.619533,2194
2017-07-25,8.880000,8.880000,8.610000,8.650000,8.386833,5906
2017-07-26,8.650000,8.700000,8.580000,8.620000,8.357747,3164
2017-07-27,8.620000,8.900000,8.620000,8.870000,8.600141,4697
2017-07-28,8.870000,8.900000,8.870000,8.900000,8.629228,2196
2017-07-31,8.900000,8.900000,8.630000,8.900000,8.629228,1899
2017-08-01,8.900000,9.000000,8.700000,8.900000,8.629228,8707
2017-08-02,8.890000,8.890000,8.680000,8.700000,8.435312,7303
2017-08-03,8.760000,8.880000,8.700000,8.730000,8.464399,4226
2017-08-04,8.880000,8.970000,8.730000,8.870000,8.600141,8628
2017-08-07,8.900000,9.000000,8.850000,8.940000,8.668011,14020
2017-08-08,8.990000,8.990000,8.850000,8.980000,8.706794,1939
2017-08-09,8.980000,9.150000,8.900000,8.910000,8.638924,3714
2017-08-10,9.000000,9.000000,8.770000,8.770000,8.503183,1641
2017-08-11,8.770000,8.950000,8.700000,8.710000,8.445008,2405
2017-08-14,8.940000,8.940000,8.720000,8.770000,8.503183,2219
2017-08-15,8.900000,8.900000,8.800000,8.850000,8.580750,2591
2017-08-16,8.850000,8.940000,8.770000,8.770000,8.503183,1004
2017-08-17,8.800000,9.000000,8.770000,8.950000,8.677706,8386
2017-08-18,9.000000,9.000000,8.810000,8.850000,8.580750,10026
2017-08-21,8.850000,9.030000,8.850000,9.000000,8.726186,6004
2017-08-22,8.950000,8.990000,8.740000,8.850000,8.580750,121689
2017-08-23,8.860000,8.990000,8.860000,8.970000,8.697098,7530
2017-08-24,8.970000,9.000000,8.950000,9.000000,8.726186,3505
2017-08-25,9.000000,9.190000,9.000000,9.160000,8.881318,22080
2017-08-28,9.160000,9.490000,9.160000,9.490000,9.201278,11293
2017-08-29,9.490000,9.500000,9.350000,9.470000,9.181886,110635
2017-08-30,9.470000,9.500000,9.390000,9.480000,9.191582,40848
2017-08-31,9.500000,9.600000,9.430000,9.510000,9.220669,11405
2017-09-01,9.500000,9.520000,9.430000,9.510000,9.220669,7749
2017-09-04,9.500000,9.500000,9.400000,9.400000,9.114015,6372
2017-09-05,9.420000,9.600000,9.420000,9.500000,9.210973,42642
2017-09-06,9.690000,9.920000,9.650000,9.920000,9.618196,16699
2017-09-07,10.000000,10.010000,9.600000,9.790000,9.492150,12570
2017-09-08,9.740000,9.990000,9.650000,9.900000,9.598803,10125
2017-09-11,9.900000,9.980000,9.730000,9.950000,9.647282,7928
2017-09-12,9.950000,9.990000,9.900000,9.920000,9.618196,10692
2017-09-13,9.990000,9.990000,9.950000,9.950000,9.647282,5107
2017-09-14,8.940000,9.080000,8.710000,8.790000,8.522574,310134
2017-09-15,8.790000,8.790000,8.200000,8.310000,8.057178,113943
2017-09-18,8.420000,8.420000,8.210000,8.210000,7.960219,97693
2017-09-19,8.210000,8.210000,8.100000,8.180000,7.931134,26060
2017-09-20,8.180000,8.360000,8.120000,8.340000,8.086266,51378
2017-09-21,8.350000,8.420000,8.340000,8.420000,8.163832,8631
2017-09-22,8.430000,8.430000,8.250000,8.310000,8.057178,111412
2017-09-25,8.300000,8.500000,8.250000,8.480000,8.222006,14558
2017-09-26,8.480000,8.550000,8.480000,8.540000,8.280179,10112
2017-09-27,8.540000,8.540000,8.380000,8.500000,8.241397,29104
2017-09-28,8.450000,8.450000,8.260000,8.260000,8.008698,103121
2017-09-29,8.280000,8.320000,8.120000,8.170000,7.921437,8269
2017-10-02,8.190000,8.200000,8.120000,8.150000,7.902045,24170
2017-10-03,8.150000,8.200000,8.110000,8.150000,7.902045,13998
2017-10-04,8.140000,8.140000,8.100000,8.100000,7.853568,56136
2017-10-05,8.100000,8.120000,8.020000,8.060000,7.814784,9693
2017-10-06,8.060000,8.100000,7.930000,8.000000,7.756609,18053
2017-10-09,8.000000,8.150000,8.000000,8.060000,7.814784,27597
2017-10-10,8.010000,8.040000,8.000000,8.040000,7.795392,36636
2017-10-11,8.010000,8.020000,7.950000,8.000000,7.756609,126067
2017-10-12,7.950000,8.000000,7.910000,7.950000,7.708130,9687
2017-10-13,7.900000,7.900000,7.750000,7.750000,7.514215,23917
2017-10-16,7.760000,7.840000,7.660000,7.770000,7.533607,21630
2017-10-17,7.770000,7.770000,7.580000,7.750000,7.514215,32401
2017-10-18,7.740000,7.750000,7.690000,7.750000,7.514215,22672
2017-10-19,7.760000,7.880000,7.610000,7.610000,7.378475,22968
2017-10-20,7.600000,7.970000,7.560000,7.960000,7.717826,47558
2017-10-23,8.010000,8.190000,8.000000,8.140000,7.935216,27616
2017-10-24,8.190000,8.190000,8.110000,8.110000,7.905971,11908
2017-10-25,8.130000,8.130000,7.950000,7.950000,7.749996,5257
2017-10-26,8.080000,8.080000,7.750000,7.810000,7.613518,27523
2017-10-27,7.800000,7.900000,7.710000,7.780000,7.584273,10945
2017-10-30,7.910000,8.090000,7.910000,8.040000,7.837732,11006
2017-10-31,8.040000,8.310000,8.000000,8.270000,8.061946,16947
2017-11-01,8.270000,8.270000,8.170000,8.260000,8.052197,5262
2017-11-02,8.150000,8.350000,8.120000,8.340000,8.130185,8900
2017-11-03,8.350000,8.350000,8.150000,8.200000,7.993707,9964
